PatternCode,Age_AVG,Age_STDEV,Total,Gender_Mp,Gender_Fp,Gender_M,Gender_F,NeuroICU,CardiacICU,MedICU,MedSurgICU,TransplantICU,NonICU
14,64.68,11.13,19,0.632,0.368,12,7,2,9,0,8,0,0
15,61.97,16.29,29,0.655,0.345,19,10,2,14,0,13,0,0
19,62.66,16.13,91,0.626,0.374,57,34,9,31,0,40,5,7
20,59.99,15.63,134,0.634,0.366,85,49,23,45,0,49,8,10
21,56.66,14.97,32,0.531,0.469,17,15,2,7,0,16,2,5
22,59.47,15.52,30,0.6,0.4,18,12,3,15,0,12,0,0
23,60.81,16.14,54,0.63,0.37,34,20,4,29,0,20,1,0
25,63.59,15.41,46,0.609,0.391,28,18,5,19,0,22,0,0
33,59.54,18.66,26,0.654,0.346,17,9,2,8,0,14,0,2
34,65.28,16.01,43,0.558,0.442,24,19,5,19,0,9,2,8
35,62.74,13.96,23,0.652,0.348,15,8,3,12,0,7,1,0
37,62.44,16.91,27,0.704,0.296,19,8,3,10,0,9,2,3
40,67,19.29,9,0.444,0.556,4,5,2,4,0,3,0,0
41,64.09,14.09,23,0.739,0.261,17,6,2,10,0,10,1,0
42,60.51,16.56,35,0.514,0.486,18,17,2,15,0,18,0,0
43,68.74,9.43,19,0.789,0.211,15,4,2,6,0,11,0,0
44,64.95,13.59,20,0.7,0.3,14,6,2,8,0,9,1,0
45,60.43,20.89,28,0.571,0.429,16,12,4,13,0,9,1,1
47,61,17.7,37,0.595,0.405,22,15,4,16,0,17,0,0
48,61.33,13.12,15,0.733,0.267,11,4,0,3,0,6,3,3
49,67.43,9.86,21,0.762,0.238,16,5,2,7,0,12,0,0
50,63.51,14.01,47,0.532,0.468,25,22,6,16,0,26,0,0
51,65.32,13.69,19,0.579,0.421,11,8,0,10,0,9,0,0
53,56.46,20,13,0.615,0.385,8,5,2,8,0,2,0,1
56,67.6,10.67,15,0.867,0.133,13,2,1,6,0,8,0,0
61,63.11,15.13,18,0.833,0.167,15,3,0,7,0,11,0,0
64,62.05,15.09,39,0.641,0.359,25,14,5,11,0,13,6,4
65,74.08,5.98,13,0.769,0.231,10,3,1,7,0,5,0,0
68,66.25,10.1,20,0.55,0.45,11,9,3,9,0,7,1,0
70,63.56,12.87,18,0.667,0.333,12,6,1,5,0,12,0,0
71,69.5,8.29,16,0.563,0.438,9,7,0,8,0,8,0,0
72,60.22,14.13,41,0.561,0.439,23,18,5,17,0,19,0,0
73,65.7,13.93,40,0.625,0.375,25,15,3,12,0,25,0,0
76,60.67,12.62,15,0.6,0.4,9,6,2,7,0,6,0,0
77,63.63,12.94,32,0.688,0.313,22,10,3,12,0,10,5,2
80,64.06,13.21,17,0.882,0.118,15,2,2,4,0,11,0,0
81,64.7,12.61,30,0.7,0.3,21,9,3,9,0,18,0,0
82,63.93,14.81,28,0.607,0.393,17,11,3,12,0,13,0,0
83,58.88,14.3,17,0.529,0.471,9,8,0,5,0,7,1,4
84,61.85,12.75,26,0.654,0.346,17,9,2,10,0,12,1,1
86,58.46,15.86,24,0.625,0.375,15,9,1,10,0,13,0,0
87,62.86,16.22,29,0.586,0.414,17,12,1,15,0,13,0,0
88,65,16.73,33,0.758,0.242,25,8,4,11,0,8,6,4
89,64.04,10.17,26,0.577,0.423,15,11,1,11,0,9,2,3
90,64.1,6.67,10,0.7,0.3,7,3,2,3,0,5,0,0
91,67.67,10,15,0.8,0.2,12,3,0,6,0,9,0,0
92,61.12,15.78,43,0.651,0.349,28,15,6,18,0,19,0,1
93,69.63,8.78,16,0.75,0.25,12,4,2,5,0,9,0,0
94,63.28,13.79,25,0.64,0.36,16,9,0,10,0,14,1,0
95,65.4,11.06,20,0.75,0.25,15,5,1,7,0,12,0,0
96,60.56,14.36,18,0.778,0.222,14,4,0,9,0,8,1,0
97,67.19,9.45,27,0.63,0.37,17,10,1,13,0,13,0,0
98,60.14,14.38,29,0.621,0.379,18,11,3,10,0,14,2,0
99,60.26,15.05,43,0.581,0.419,25,18,7,17,0,19,0,0
100,59.97,13.89,31,0.581,0.419,18,13,0,14,0,13,1,3
101,54.63,17.45,16,0.375,0.625,6,10,0,7,0,8,1,0
102,59.75,15.01,24,0.625,0.375,15,9,0,9,0,13,2,0
104,63.67,14.83,30,0.633,0.367,19,11,2,12,0,16,0,0
105,62.17,17.83,41,0.683,0.317,28,13,4,13,0,12,5,7
106,65.47,14.93,34,0.559,0.441,19,15,1,12,0,21,0,0
107,57.94,14.94,31,0.645,0.355,20,11,2,13,0,15,0,1
109,63.71,12.81,51,0.608,0.392,31,20,4,18,0,30,0,0
110,63.45,14.76,20,0.75,0.25,15,5,0,9,0,11,0,0
111,67.33,9.86,18,0.667,0.333,12,6,1,10,0,7,0,0
112,62.09,15.58,34,0.588,0.412,20,14,4,16,0,14,0,0
113,67.48,9.64,25,0.68,0.32,17,8,1,12,0,12,0,0
114,63.17,14.93,24,0.583,0.417,14,10,2,13,0,9,0,0
115,64.28,14.84,18,0.778,0.222,14,4,2,7,0,9,0,0
116,58.29,13.78,28,0.607,0.393,17,11,2,13,0,10,1,2
117,60.44,18.84,27,0.407,0.593,11,16,3,9,0,13,1,1
118,67.53,8.4,15,0.8,0.2,12,3,2,3,0,10,0,0
119,61.5,15.99,56,0.625,0.375,35,21,7,22,0,27,0,1
120,67.09,9.67,23,0.783,0.217,18,5,2,7,0,14,0,0
121,61.81,15.01,16,0.875,0.125,14,2,2,5,0,9,0,0
122,58.96,16.33,26,0.692,0.308,18,8,1,12,0,12,1,0
123,63.14,14.28,35,0.629,0.371,22,13,2,17,0,13,2,1
124,66.95,13.91,19,0.737,0.263,14,5,3,7,0,9,0,0
125,58.78,16.16,32,0.625,0.375,20,12,1,14,0,15,1,1
126,59.82,16.43,33,0.545,0.455,18,15,0,14,0,19,0,0
127,66.71,11.66,14,0.857,0.143,12,2,0,6,0,8,0,0
128,56.38,15.7,24,0.625,0.375,15,9,0,8,0,14,2,0
129,61.98,15.1,48,0.583,0.417,28,20,8,19,0,21,0,0
130,64.96,9.34,23,0.522,0.478,12,11,3,9,0,9,1,1
131,61.97,16.42,29,0.655,0.345,19,10,1,11,0,17,0,0
132,64.33,14.8,33,0.667,0.333,22,11,3,11,0,16,1,2
133,62.41,10.92,22,0.591,0.409,13,9,1,11,0,10,0,0
134,57.65,16.46,23,0.696,0.304,16,7,0,10,0,11,2,0
135,67.84,13.36,19,0.474,0.526,9,10,1,7,0,11,0,0
137,62.21,17.14,24,0.833,0.167,20,4,2,7,0,15,0,0
138,55.61,19.43,18,0.667,0.333,12,6,2,6,0,8,1,1
140,71,10.14,11,0.909,0.091,10,1,0,6,0,5,0,0
141,65.63,12.52,16,0.563,0.438,9,7,2,4,0,8,1,1
142,61.35,15.98,20,0.85,0.15,17,3,1,9,0,10,0,0
143,64.74,13.58,39,0.59,0.41,23,16,3,13,0,23,0,0
145,63.53,14.77,17,0.824,0.176,14,3,1,6,0,10,0,0
146,56.18,18.88,39,0.615,0.385,24,15,4,16,0,17,1,1
147,60.13,14.59,60,0.567,0.433,34,26,7,27,0,26,0,0
148,59.27,18.11,30,0.767,0.233,23,7,3,11,0,10,4,2
149,65.88,15.03,26,0.654,0.346,17,9,2,13,0,7,1,3
